Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,27.84749984741211,27.860000610351562,26.837499618530273,27.332500457763672,24.37395477294922,212818400
2015-01-05,27.072500228881836,27.162500381469727,26.352500915527344,26.5625,23.68730354309082,257142000
2015-01-06,26.635000228881836,26.857500076293945,26.157499313354492,26.565000534057617,23.689533233642578,263188400
2015-01-07,26.799999237060547,27.049999237060547,26.674999237060547,26.9375,24.021713256835938,160423600
2015-01-08,27.3075008392334,28.037500381469727,27.174999237060547,27.97249984741211,24.94468116760254,237458000
2015-01-09,28.167499542236328,28.3125,27.552499771118164,28.002500534057617,24.971431732177734,214798000
2015-01-12,28.149999618530273,28.157499313354492,27.200000762939453,27.3125,24.356122970581055,198603200
2015-01-13,27.857500076293945,28.200000762939453,27.227500915527344,27.55500030517578,24.572376251220703,268367600
2015-01-14,27.260000228881836,27.622499465942383,27.125,27.450000762939453,24.47873878479004,195826400
2015-01-15,27.5,27.514999389648438,26.665000915527344,26.704999923706055,23.814382553100586,240056000
2015-01-16,26.75749969482422,26.895000457763672,26.299999237060547,26.497499465942383,23.62934112548828,314053200
2015-01-20,26.959999084472656,27.24250030517578,26.625,27.18000030517578,24.237958908081055,199599600
2015-01-21,27.237499237060547,27.764999389648438,27.0674991607666,27.387500762939453,24.42300796508789,194303600
2015-01-22,27.565000534057617,28.11750030517578,27.43000030517578,28.100000381469727,25.058382034301758,215185600
2015-01-23,28.075000762939453,28.4375,27.88249969482422,28.2450008392334,25.187685012817383,185859200
2015-01-26,28.434999465942383,28.59000015258789,28.200000762939453,28.274999618530273,25.214441299438477,222460000
2015-01-27,28.104999542236328,28.1200008392334,27.25749969482422,27.28499984741211,24.331602096557617,382274800
2015-01-28,29.407499313354492,29.530000686645508,28.827499389648438,28.827499389648438,25.70713996887207,585908400
2015-01-29,29.079999923706055,29.797500610351562,28.889999389648438,29.725000381469727,26.50748634338379,337745600
2015-01-30,29.600000381469727,30.0,29.212499618530273,29.290000915527344,26.11957359313965,334982000
2015-02-02,29.512500762939453,29.792499542236328,29.020000457763672,29.657499313354492,26.447294235229492,250956400
2015-02-03,29.625,29.772499084472656,29.40250015258789,29.662500381469727,26.451749801635742,207662800
2015-02-04,29.625,30.127500534057617,29.577499389648438,29.889999389648438,26.654632568359375,280598800
2015-02-05,30.0049991607666,30.0575008392334,29.8125,29.985000610351562,26.84487533569336,168984800
2015-02-06,30.0049991607666,30.0625,29.612499237060547,29.732500076293945,26.618820190429688,174826400
2015-02-09,29.637500762939453,29.959999084472656,29.607500076293945,29.93000030517578,26.795635223388672,155559200
2015-02-10,30.042499542236328,30.537500381469727,30.040000915527344,30.5049991607666,27.310413360595703,248034000
2015-02-11,30.6924991607666,31.229999542236328,30.625,31.219999313354492,27.950542449951172,294247200
2015-02-12,31.514999389648438,31.8700008392334,31.392499923706055,31.614999771118164,28.304176330566406,297898000
2015-02-13,31.81999969482422,31.81999969482422,31.412500381469727,31.770000457763672,28.44294548034668,217088800
2015-02-17,31.872499465942383,32.220001220703125,31.729999542236328,31.957500457763672,28.610815048217773,252609600
2015-02-18,31.907499313354492,32.19499969482422,31.862499237060547,32.18000030517578,28.810007095336914,179566800
2015-02-19,32.119998931884766,32.25749969482422,32.08250045776367,32.11249923706055,28.74957847595215,149449600
2015-02-20,32.154998779296875,32.375,32.01250076293945,32.375,28.984588623046875,195793600
2015-02-23,32.505001068115234,33.25,32.415000915527344,33.25,29.76795768737793,283896400
2015-02-24,33.23500061035156,33.400001525878906,32.79249954223633,33.04249954223633,29.582170486450195,276912400
2015-02-25,32.88999938964844,32.900001525878906,32.037498474121094,32.1974983215332,28.825674057006836,298846800
2015-02-26,32.1974983215332,32.717498779296875,31.65250015258789,32.60499954223633,29.190500259399414,365150000
2015-02-27,32.5,32.64250183105469,32.060001373291016,32.1150016784668,28.751815795898438,248059200
2015-03-02,32.3125,32.56999969482422,32.07500076293945,32.272499084472656,28.892820358276367,192386800
2015-03-03,32.2400016784668,32.380001068115234,32.022499084472656,32.34000015258789,28.9532470703125,151265200
2015-03-04,32.275001525878906,32.38999938964844,32.08000183105469,32.1349983215332,28.769718170166016,126665200
2015-03-05,32.14500045776367,32.1875,31.440000534057617,31.602500915527344,28.292985916137695,226068400
2015-03-06,32.099998474121094,32.342498779296875,31.565000534057617,31.649999618530273,28.335508346557617,291368400
2015-03-09,31.989999771118164,32.39250183105469,31.264999389648438,31.78499984741211,28.456375122070312,354114000
2015-03-10,31.602500915527344,31.80500030517578,30.950000762939453,31.127500534057617,27.867727279663086,275426400
2015-03-11,31.1875,31.1924991607666,30.52750015258789,30.559999465942383,27.359664916992188,275756000
2015-03-12,30.577499389648438,31.225000381469727,30.407499313354492,31.112499237060547,27.85430335998535,193450800
2015-03-13,31.100000381469727,31.350000381469727,30.645000457763672,30.897499084472656,27.661813735961914,207309200
2015-03-16,30.969999313354492,31.237499237060547,30.717500686645508,31.237499237060547,27.96620750427246,143497200
2015-03-17,31.475000381469727,31.829999923706055,31.412500381469727,31.760000228881836,28.433990478515625,204092400
2015-03-18,31.75,32.290000915527344,31.592500686645508,32.11750030517578,28.754056930541992,261083600
2015-03-19,32.1875,32.3125,31.850000381469727,31.875,28.53694725036621,183238000
2015-03-20,32.0625,32.099998474121094,31.290000915527344,31.475000381469727,28.1788330078125,274780400
2015-03-23,31.780000686645508,31.962499618530273,31.6299991607666,31.802499771118164,28.472042083740234,150838800
2015-03-24,31.8075008392334,32.0099983215332,31.639999389648438,31.672500610351562,28.35565757751465,131369200
2015-03-25,31.635000228881836,31.704999923706055,30.844999313354492,30.844999313354492,27.61481285095215,206620800
2015-03-26,30.690000534057617,31.219999313354492,30.649999618530273,31.059999465942383,27.80729866027832,190291600
2015-03-27,31.142499923706055,31.174999237060547,30.727500915527344,30.8125,27.58572006225586,158184800
2015-03-30,31.012500762939453,31.600000381469727,31.0,31.592500686645508,28.284034729003906,188398800
2015-03-31,31.522499084472656,31.622499465942383,31.09000015258789,31.107500076293945,27.849821090698242,168362400
2015-04-01,31.204999923706055,31.280000686645508,30.774999618530273,31.0625,27.80953025817871,162485600
2015-04-02,31.25749969482422,31.389999389648438,31.047500610351562,31.329999923706055,28.049022674560547,128880400
2015-04-06,31.11750030517578,31.877500534057617,31.082500457763672,31.837499618530273,28.503376007080078,148776000
2015-04-07,31.90999984741211,32.029998779296875,31.4950008392334,31.502500534057617,28.203458786010742,140049200
2015-04-08,31.462499618530273,31.600000381469727,31.24250030517578,31.399999618530273,28.1116943359375,149316800
2015-04-09,31.462499618530273,31.645000457763672,31.165000915527344,31.639999389648438,28.32655906677246,129936000
2015-04-10,31.487499237060547,31.802499771118164,31.315000534057617,31.774999618530273,28.44742202758789,160752000
2015-04-13,32.092498779296875,32.14250183105469,31.65250015258789,31.712499618530273,28.391468048095703,145460400
2015-04-14,31.75,31.822500228881836,31.477500915527344,31.575000762939453,28.26836585998535,102098400
2015-04-15,31.602500915527344,31.782499313354492,31.502500534057617,31.69499969482422,28.375795364379883,115881600
2015-04-16,31.56999969482422,31.774999618530273,31.52750015258789,31.542499542236328,28.239267349243164,113476000
2015-04-17,31.387500762939453,31.53499984741211,31.114999771118164,31.1875,27.92144203186035,207828000
2015-04-20,31.392499923706055,32.029998779296875,31.292499542236328,31.899999618530273,28.559329986572266,188217200
2015-04-21,32.025001525878906,32.04999923706055,31.667499542236328,31.727500915527344,28.404888153076172,129740400
2015-04-22,31.747499465942383,32.217498779296875,31.579999923706055,32.154998779296875,28.787620544433594,150618000
2015-04-23,32.07500076293945,32.60499954223633,32.03499984741211,32.41749954223633,29.02263641357422,183083600
2015-04-24,32.622501373291016,32.657501220703125,32.307498931884766,32.56999969482422,29.159164428710938,178103600
2015-04-27,33.07749938964844,33.282501220703125,32.787498474121094,33.162498474121094,29.68961524963379,387816800
2015-04-28,33.6150016784668,33.6349983215332,32.39250183105469,32.63999938964844,29.22183609008789,475696000
2015-04-29,32.540000915527344,32.897499084472656,32.07500076293945,32.15999984741211,28.792097091674805,253544400
2015-04-30,32.15999984741211,32.15999984741211,31.145000457763672,31.287500381469727,28.010967254638672,332781600
2015-05-01,31.524999618530273,32.532501220703125,31.325000762939453,32.23749923706055,28.86148452758789,234050400
2015-05-04,32.375,32.64250183105469,32.064998626708984,32.17499923706055,28.805530548095703,203953200
2015-05-05,32.037498474121094,32.11249923706055,31.44499969482422,31.450000762939453,28.156452178955078,197085600
2015-05-06,31.639999389648438,31.6875,30.84000015258789,31.252500534057617,27.979644775390625,288564000
